Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20190325|A|27152|440|169277|Q,N
20190325|AA|239518|338|866212|Q,N
20190325|AAAU|5541|0|5583|Q,N
20190325|AABA|82883|2459|253217|Q,N
20190325|AAC|29767|1893|64217|Q,N
20190325|AADR|84220|0|92979|Q,N
20190325|AAL|1064981|8290|1835879|Q,N
20190325|AAMC|1616|50|3161|Q
20190325|AAN|36315|10|91446|Q,N
20190325|AAOI|159648|2900|322821|Q,N
20190325|AAON|9462|0|15796|Q,N
20190325|AAP|108891|24|312881|Q,N
20190325|AAPL|10676580|30265|18759246|Q,N
20190325|AAT|9167|0|40034|Q,N
20190325|AAU|78392|0|134020|Q,N
20190325|AAWW|16410|26|40784|Q,N
20190325|AAXJ|19423|0|132381|Q,N
20190325|AAXN|49969|76|103110|Q,N
20190325|AB|58892|400|125874|Q,N
20190325|ABB|165352|5450|577629|Q,N
20190325|ABBV|467631|2360|1221860|Q,N
20190325|ABC|114022|124|410894|Q,N
20190325|ABCB|56277|100|96427|Q,N
20190325|ABDC|8477|0|17880|Q,N
20190325|ABEO|35236|0|58678|Q,N
20190325|ABEV|2297431|0|5945283|Q,N
20190325|ABG|10744|0|18344|Q,N
20190325|ABIL|56555|0|104438|Q,N
20190325|ABIO|24953|369|133653|Q,N
20190325|ABM|75631|0|94615|Q,N
20190325|ABMD|71099|813|174067|Q,N
20190325|ABR|101021|100|228469|Q,N
20190325|ABRpC|45|0|245|Q
20190325|ABT|122560|1054|749565|Q,N
20190325|ABTX|16172|0|71359|Q,N
20190325|ABUS|36908|0|59126|Q,N
20190325|AC|2213|0|3578|Q,N
20190325|ACA|52283|127|126472|Q,N
20190325|ACAD|100591|576|227004|Q,N
20190325|ACB|6403090|16268|21006288|Q,N
20190325|ACBI|12356|0|198830|Q,N
20190325|ACC|40745|0|175002|Q,N
20190325|ACCO|35021|0|78900|Q,N
20190325|ACER|11255|0|15249|Q,N
20190325|ACES|262|0|15027|Q,N
20190325|ACET|392356|913|786626|Q,N
20190325|ACGL|61325|0|143191|Q,N
20190325|ACGLO|8575|0|14752|Q,N
