Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20191218|AA|106|0|206|B
20191218|AAL|4450|0|6630|B
20191218|AAN|737|0|737|B
20191218|AAP|42|0|75|B
20191218|AAPL|19729|0|37931|B
20191218|AAU|50|0|50|B
20191218|AAWW|818|0|918|B
20191218|AAXJ|619|0|619|B
20191218|AAXN|809|0|2081|B
20191218|ABB|500|0|1601|B
20191218|ABBV|951|0|3164|B
20191218|ABC|100|0|151|B
20191218|ABEO|400|0|400|B
20191218|ABIO|100|0|319|B
20191218|ABT|190|0|336|B
20191218|AC|200|0|500|B
20191218|ACAD|1267|0|6381|B
20191218|ACB|39330|0|57782|B
20191218|ACCO|4100|0|4400|B
20191218|ACHC|500|0|500|B
20191218|ACIA|4|0|204|B
20191218|ACIW|100|0|100|B
20191218|ACMR|100|0|100|B
20191218|ACN|407|0|1777|B
20191218|ACOR|200|0|200|B
20191218|ACST|13480|0|19080|B
20191218|ACY|100|0|100|B
20191218|ADBE|2367|0|3553|B
20191218|ADI|100|0|404|B
20191218|ADIL|283|0|283|B
20191218|ADM|179|0|489|B
20191218|ADMS|468|0|1228|B
20191218|ADNT|650|0|650|B
20191218|ADP|121|0|128|B
20191218|ADRO|1741|0|2550|B
20191218|ADSK|1527|0|1630|B
20191218|AE|704|0|1341|B
20191218|AEE|131|0|210|B
20191218|AEFC|1000|0|1000|B
20191218|AEM|1435|0|5062|B
20191218|AEP|1|0|5|B
20191218|AES|4200|0|6200|B
20191218|AEZS|100|0|100|B
20191218|AFL|635|0|635|B
20191218|AFYA|200|0|250|B
20191218|AG|7030|0|23003|B
20191218|AGG|1201|0|3351|B
20191218|AGI|1662|0|2528|B
20191218|AGN|254|0|303|B
20191218|AGNC|1900|0|4000|B
20191218|AGO|298|0|298|B
20191218|AGRO|152|0|252|B
20191218|AGRX|550|0|1270|B
20191218|AGX|919|0|1186|B
20191218|AI|600|0|600|B
20191218|AIG|50|0|150|B
20191218|AIH|1500|0|2000|B
20191218|AIMT|100|0|100|B
20191218|AINV|500|0|500|B
20191218|AIV|300|0|300|B
20191218|AKAM|165|0|167|B
20191218|AKBA|900|0|3733|B
20191218|AKER|500|0|600|B
20191218|AKRO|100|0|100|B
20191218|AKRX|6982|0|24606|B
20191218|AKTS|200|0|200|B
20191218|ALB|500|0|1505|B
20191218|ALBO|100|0|150|B
20191218|ALC|300|0|300|B
20191218|ALDX|660|0|860|B
20191218|ALEX|194|0|251|B
20191218|ALGN|264|0|714|B
20191218|ALKS|100|0|100|B
20191218|ALLK|3745|0|5180|B
20191218|ALLpH|500|0|3600|B
20191218|ALNY|495|0|1695|B
20191218|ALOT|600|0|600|B
20191218|ALSN|33|0|233|B
20191218|ALV|200|0|600|B
20191218|ALX|1|0|1|B
20191218|ALXN|889|0|1068|B
20191218|AM|981|0|4451|B
20191218|AMAT|2186|0|3032|B
20191218|AMBA|800|0|850|B
20191218|AMBC|101|0|101|B
20191218|AMC|11466|0|18554|B
20191218|AMCX|105|0|305|B
20191218|AMD|32794|0|130667|B
20191218|AME|1963|0|2363|B
20191218|AMG|100|0|100|B
20191218|AMGN|315|0|674|B
20191218|AMH|20|0|20|B
20191218|AMJ|4400|0|4400|B
20191218|AMKR|225|0|225|B
20191218|AMLP|160|0|400|B
20191218|AMRB|25|0|25|B
20191218|AMRH|1000|0|1500|B
20191218|AMRN|22661|0|33787|B
20191218|AMRX|2700|0|7050|B
20191218|AMT|548|0|751|B
20191218|AMZA|35|0|435|B
20191218|AMZN|3554|0|10222|B
20191218|AN|100|0|100|B
20191218|ANAB|1491|0|2791|B
20191218|ANET|110|0|375|B
20191218|ANF|400|0|1100|B
