Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20190507|A|69411|171|229425|Q
20190507|AA|521757|1948|876076|Q
20190507|AAAU|7501|0|18779|Q
20190507|AABA|47639|50|401546|Q
20190507|AAC|31247|4905|43557|Q
20190507|AADR|1925|219|6537|Q
20190507|AAL|907814|2500|1642064|Q
20190507|AAN|39475|231|56165|Q
20190507|AAOI|109297|2187|225680|Q
20190507|AAON|32123|0|47215|Q
20190507|AAP|90862|419|234616|Q
20190507|AAPL|4313884|65553|8597559|Q
20190507|AAT|3728|66|23021|Q
20190507|AAU|503|0|18997|Q
20190507|AAWW|143587|1000|168690|Q
20190507|AAXJ|194176|0|1166749|Q
20190507|AAXN|119263|1567|402588|Q
20190507|AB|61060|0|258522|Q
20190507|ABB|181342|12048|506983|Q
20190507|ABBV|333859|1209|817038|Q
20190507|ABC|94231|137|385959|Q
20190507|ABCB|17605|242|23681|Q
20190507|ABDC|6842|0|11367|Q
20190507|ABEO|63381|0|115097|Q
20190507|ABEV|9163747|10466|12680183|Q
20190507|ABG|9670|482|15353|Q
20190507|ABIL|7793|0|15775|Q
20190507|ABIO|292598|1432|531171|Q
20190507|ABM|16999|0|19929|Q
20190507|ABMD|156547|364|238653|Q
20190507|ABR|182295|600|590162|Q
20190507|ABRpA|100|0|975|Q
20190507|ABRpC|700|0|1035|Q
20190507|ABT|734998|9178|1178414|Q
20190507|ABTX|10698|0|24303|Q
20190507|ABUS|44771|300|106378|Q
20190507|AC|1149|0|1675|Q
20190507|ACA|17188|0|54706|Q
20190507|ACAD|121819|800|223239|Q
20190507|ACB|2384015|15452|4093217|Q
20190507|ACBI|17099|0|32174|Q
20190507|ACC|40931|1242|142000|Q
20190507|ACCO|54529|2700|82909|Q
20190507|ACER|14660|0|30400|Q
20190507|ACES|1828|0|3081|Q
20190507|ACGL|121743|0|204791|Q
20190507|ACGLO|6152|0|14282|Q
20190507|ACGLP|7393|0|13041|Q
20190507|ACH|4431|200|26091|Q
20190507|ACHC|54692|2054|139497|Q
20190507|ACHN|174875|2219|263495|Q
20190507|ACHV|21906|0|34442|Q
20190507|ACIA|163274|400|325675|Q
20190507|ACIM|1207|0|1438|Q
20190507|ACIU|26425|0|33090|Q
20190507|ACIW|33079|0|53668|Q
20190507|ACLS|46439|0|100086|Q
20190507|ACM|79586|100|640654|Q
20190507|ACMR|19909|500|28361|Q
20190507|ACN|285532|2290|478330|Q
20190507|ACNB|412|0|440|Q
20190507|ACOR|166080|0|275207|Q
20190507|ACP|16865|600|48893|Q
20190507|ACRE|34857|0|81146|Q
20190507|ACRS|97022|0|164035|Q
20190507|ACRX|102732|105|270883|Q
20190507|ACST|80654|0|113094|Q
20190507|ACT|451|0|470|Q
20190507|ACTG|5181|0|12363|Q
20190507|ACTTU|7200|0|50300|Q
20190507|ACU|5501|0|10092|Q
20190507|ACV|7853|500|12971|Q
