Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20190812|A|19843|14900|32938|N
20190812|AA|148647|0|250338|N
20190812|AAAU|6030|0|9193|N
20190812|AABA|11023|0|70142|N
20190812|AAC|249|0|13055|N
20190812|AAL|389186|880|534770|N
20190812|AAMC|72|0|1081|N
20190812|AAN|1199|0|4672|N
20190812|AAOI|58373|0|90296|N
20190812|AAON|680|0|5102|N
20190812|AAP|12788|0|35544|N
20190812|AAPL|1685235|0|3997368|N
20190812|AAT|349|0|879|N
20190812|AAU|34880|0|91793|N
20190812|AAWW|19701|0|44202|N
20190812|AAXJ|1800|0|7169|N
20190812|AAXN|28883|676|49609|N
20190812|AB|9409|0|23499|N
20190812|ABB|36795|0|73392|N
20190812|ABBV|126085|0|394485|N
20190812|ABC|15040|0|21031|N
20190812|ABCB|202|0|2988|N
20190812|ABDC|408|0|2923|N
20190812|ABEO|23872|0|63504|N
20190812|ABEV|587668|0|2403705|N
20190812|ABG|372|0|1136|N
20190812|ABIL|3446|5|9477|N
20190812|ABIO|1665|0|3516|N
20190812|ABM|231|0|4932|N
20190812|ABMD|3880|0|15705|N
20190812|ABR|200536|2090|295612|N
20190812|ABRpA|250|0|250|N
20190812|ABT|46500|0|108916|N
20190812|ABUS|23692|0|29267|N
20190812|ACA|158|0|2517|N
20190812|ACAD|8690|0|39718|N
20190812|ACAMU|12|0|28|N
20190812|ACB|803627|2509|1772705|N
20190812|ACBI|300|0|1010|N
20190812|ACC|903|0|9951|N
20190812|ACCO|3952|0|6454|N
20190812|ACER|3143|0|11972|N
20190812|ACES|230|0|612|N
20190812|ACGL|3164|0|17942|N
20190812|ACGLO|158|0|266|N
20190812|ACGLP|2993|0|3539|N
20190812|ACH|1637|0|2256|N
20190812|ACHC|1471|0|2684|N
20190812|ACHN|30544|0|131663|N
20190812|ACHV|848|0|2968|N
20190812|ACIA|2263|0|21599|N
20190812|ACIM|401|0|1023|N
20190812|ACIO|309|0|309|N
20190812|ACIU|760|0|8475|N
20190812|ACIW|15988|0|16838|N
20190812|ACLS|107|0|3030|N
20190812|ACM|961|0|6649|N
20190812|ACMR|3125|0|6264|N
20190812|ACN|13802|0|27394|N
20190812|ACNB|200|0|200|N
20190812|ACOR|10680|0|61424|N
20190812|ACP|2856|0|4879|N
20190812|ACRE|2624|0|5869|N
20190812|ACRS|144953|982|412528|N
20190812|ACRX|60321|0|111412|N
20190812|ACST|126216|2720|271483|N
20190812|ACT|1|0|801|N
20190812|ACTT|1|0|25|N
20190812|ACU|1|0|501|N
20190812|ACV|1679|0|10721|N
20190812|ACWI|12992|0|28836|N
20190812|ACWV|7228|0|30625|N
20190812|ACWX|8933|0|21595|N
20190812|ADAP|13371|230|78547|N
20190812|ADBE|12646|0|76043|N
20190812|ADC|226|0|676|N
20190812|ADES|1324|0|8274|N
20190812|ADI|2162|0|9480|N
20190812|ADIL|325|0|567|N
20190812|ADM|29569|0|109131|N
20190812|ADMA|24274|0|85164|N
20190812|ADMP|75732|0|210361|N
20190812|ADMS|1112|100|13052|N
20190812|ADNT|8197|0|23076|N
20190812|ADOM|9037|0|79175|N
20190812|ADP|11898|0|21368|N
20190812|ADPT|12607|0|22598|N
20190812|ADRO|740|0|5855|N
20190812|ADS|296|0|12866|N
20190812|ADSK|19821|0|53542|N
20190812|ADSW|400|0|906|N
20190812|ADT|96933|0|184944|N
20190812|ADTN|1201|0|3940|N
20190812|ADUS|1884|0|2026|N
20190812|ADVM|138615|267|167097|N
20190812|ADX|17942|0|24045|N
20190812|ADXS|23031|672|103237|N
20190812|AE|2|0|2|N
20190812|AEB|263|0|713|N
20190812|AEE|6041|0|56460|N
20190812|AEF|63|0|116|N
20190812|AEG|51503|0|120352|N
20190812|AEH|4233|0|5914|N
20190812|AEHR|1|0|3105|N
20190812|AEIS|2797|0|3120|N
20190812|AEL|657|0|21509|N
20190812|AEM|93115|0|123580|N
20190812|AEMD|9009|350|28226|N
20190812|AEO|34340|0|62829|N
20190812|AEP|21504|0|48821|N
20190812|AER|13753|0|20889|N
20190812|AERI|23442|0|41754|N
20190812|AES|59996|0|177494|N
20190812|AESE|33827|27|62393|N
20190812|AESEW|29402|0|30788|N
20190812|AEY|6|0|2273|N
20190812|AEYE|1411|0|3317|N
20190812|AEZS|1042|0|3031|N
20190812|AFB|1|0|1232|N
20190812|AFG|201|0|1201|N
20190812|AFGB|19|0|2190|N
20190812|AFGE|28|0|1393|N
20190812|AFGH|134|0|148|N
20190812|AFH|1902|0|9369|N
20190812|AFI|500|0|1308|N
20190812|AFIN|8634|0|32242|N
20190812|AFINP|689|0|1589|N
20190812|AFK|34|0|430|N
20190812|AFL|9396|0|49320|N
20190812|AFMD|31996|0|40798|N
20190812|AFT|1257|0|1416|N
20190812|AFYA|4100|0|9001|N
20190812|AG|306846|0|793507|N
20190812|AGCO|20255|0|40400|N
20190812|AGD|929|0|3930|N
20190812|AGE|2734|0|3954|N
20190812|AGEN|26287|0|90398|N
20190812|AGFS|5978|0|9665|N
20190812|AGG|70116|0|109768|N
20190812|AGGP|3|0|1807|N
20190812|AGGY|4467|0|21196|N
20190812|AGI|53183|0|112966|N
20190812|AGIO|18966|0|49582|N
20190812|AGLE|1|0|1|N
20190812|AGM|129|0|300|N
20190812|AGN|4997|0|26571|N
20190812|AGNC|109491|0|296472|N
20190812|AGNCB|8100|0|15286|N
20190812|AGNCM|2453|0|2863|N
20190812|AGNCN|169|0|1006|N
20190812|AGO|6667|0|27125|N
20190812|AGQ|23686|0|44005|N
20190812|AGR|56917|0|63257|N
20190812|AGRO|12812|800|25989|N
20190812|AGRX|72962|0|175856|N
20190812|AGS|34515|0|86659|N
20190812|AGT|1309|0|3266|N
20190812|AGTC|530|0|1181|N
20190812|AGX|3165|0|4405|N
20190812|AGYS|3851|0|6997|N
20190812|AGZ|2674|0|3643|N
20190812|AGZD|255|0|3029|N
20190812|AHC|1516|0|2195|N
20190812|AHH|1811|0|5233|N
20190812|AHHpA|100|0|100|N
20190812|AHLpC|233|0|357|N
20190812|AHLpD|1586|0|1612|N
20190812|AHT|13024|0|94366|N
20190812|AHTpD|120|0|1420|N
20190812|AHTpG|1150|0|1579|N
20190812|AHTpH|288|0|638|N
20190812|AHTpI|42|0|42|N
20190812|AI|12494|0|28564|N
20190812|AIA|10|0|380|N
20190812|AIEQ|1370|0|9937|N
20190812|AIF|1613|0|4169|N
20190812|AIG|23237|0|66958|N
20190812|AIG/WS|2600|0|9345|N
20190812|AIIQ|85|0|85|N
20190812|AIMC|2861|0|5812|N
20190812|AIMT|10952|0|22407|N
20190812|AIN|276|0|633|N
20190812|AINV|4329|0|22721|N
20190812|AIQ|1610|0|1615|N
20190812|AIR|649|0|11985|N
20190812|AIRG|781|0|3746|N
20190812|AIRI|1631|0|7416|N
20190812|AIT|365|0|913|N
20190812|AIV|13740|0|31723|N
20190812|AIZ|1392|0|2561|N
20190812|AIZP|40|0|40|N
20190812|AIpB|200|0|205|N
20190812|AJG|3816|0|8434|N
20190812|AJRD|7504|0|37575|N
20190812|AJX|19024|0|23067|N
20190812|AKAM|14756|0|26535|N
20190812|AKBA|11228|0|41741|N
20190812|AKCA|461|0|2122|N
20190812|AKER|124253|0|149609|N
20190812|AKG|134266|0|240282|N
20190812|AKR|100|0|110|N
20190812|AKRO|5616|50|11582|N
20190812|AKRX|53263|0|117132|N
20190812|AKS|708462|0|1424298|N
20190812|AKTS|12658|3000|16725|N
20190812|AKTX|637|0|10008|N
20190812|AL|2151|0|11456|N
20190812|ALB|8984|0|46071|N
20190812|ALBO|154|0|154|N
20190812|ALC|2848|0|12606|N
20190812|ALCO|30|0|350|N
20190812|ALDR|2483|0|5142|N
20190812|ALDX|200|0|2451|N
20190812|ALE|58|0|2925|N
20190812|ALEC|3240|0|6399|N
20190812|ALEX|791|0|1358|N
20190812|ALG|60|0|10119|N
20190812|ALGN|17729|0|47453|N
20190812|ALGT|2968|0|3274|N
20190812|ALIM|20993|0|29130|N
20190812|ALJJ|40|0|40|N
20190812|ALK|29702|0|45404|N
20190812|ALKS|5074|0|13345|N
20190812|ALL|12213|0|23961|N
20190812|ALLE|506|0|2981|N
20190812|ALLK|12824|0|54935|N
20190812|ALLO|2253|0|7980|N
20190812|ALLT|800|0|866|N
20190812|ALLY|8069|0|19681|N
20190812|ALLYpA|21798|0|22063|N
20190812|ALLpA|200|0|300|N
20190812|ALLpB|2315|0|2384|N
20190812|ALLpD|350|0|3350|N
20190812|ALLpE|15599|0|20118|N
20190812|ALLpF|623|0|2284|N
20190812|ALLpG|132|0|845|N
20190812|ALLpH|12074|0|21899|N
20190812|ALNA|56|0|847|N
20190812|ALNY|2575|0|4824|N
20190812|ALO|18804|278|108491|N
20190812|ALOT|18|0|1033|N
20190812|ALPN|755|0|755|N
20190812|ALPpQ|1645|0|2559|N
20190812|ALRM|1959|0|10790|N
20190812|ALRN|95247|0|188726|N
20190812|ALSK|1151|0|1562|N
20190812|ALSN|1706|0|10381|N
20190812|ALT|8736|0|23774|N
20190812|ALTM|28774|0|109806|N
20190812|ALTR|21027|51|46059|N
20190812|ALTY|652|0|1576|N
20190812|ALV|863|0|1122|N
20190812|ALXN|7445|0|24138|N
20190812|ALpA|48|0|418|N
20190812|AM|341765|7521|452463|N
20190812|AMAG|639129|0|1063063|N
20190812|AMAL|127|0|233|N
20190812|AMAT|62422|0|171991|N
20190812|AMBA|5043|0|11714|N
20190812|AMBC|791|0|8986|N
20190812|AMC|203628|0|320693|N
20190812|AMCR|5718|0|20577|N
20190812|AMCX|6746|0|13961|N
20190812|AMD|14428068|44901|22826137|N
20190812|AME|2701|0|5838|N
20190812|AMED|847|0|18334|N
20190812|AMEH|3407|0|3409|N
20190812|AMG|3270|0|4670|N
20190812|AMGN|174063|0|432190|N
20190812|AMH|2130|0|3362|N
20190812|AMHpD|189|0|721|N
20190812|AMHpE|347|0|654|N
20190812|AMHpH|35|0|52|N
20190812|AMJ|15145|0|68190|N
20190812|AMJL|1040|0|6306|N
20190812|AMK|729|0|8325|N
20190812|AMKR|12258|0|24969|N
20190812|AMLP|540114|4144|1207464|N
20190812|AMN|1092|0|4303|N
20190812|AMOM|36|0|36|N
20190812|AMOT|192|0|462|N
20190812|AMP|4044|0|53831|N
20190812|AMPE|61974|0|72864|N
20190812|AMPH|3697|0|4927|N
20190812|AMPY|6201|0|9557|N
20190812|AMR|439282|4500|1024069|N
20190812|AMRC|130|0|665|N
20190812|AMRH|240357|0|519561|N
20190812|AMRK|1|0|2|N
20190812|AMRN|632986|39228|2175216|N
20190812|AMRS|147301|0|319342|N
20190812|AMRX|93136|1|139950|N
20190812|AMS|2|0|2|N
20190812|AMSC|1845|0|6768|N
20190812|AMSF|1250|0|1484|N
20190812|AMSWA|323|0|1849|N
20190812|AMT|7495|0|19162|N
20190812|AMTB|1200|0|1300|N
20190812|AMTD|47733|0|133877|N
20190812|AMTX|2078|0|4394|N
20190812|AMU|1772|0|1772|N
20190812|AMWD|275|0|517|N
20190812|AMX|11452|0|29081|N
20190812|AMZA|18649|0|95821|N
20190812|AMZN|285584|1|510857|N
20190812|AN|1000|0|2595|N
