Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20190910|AABB|1766032|0|3045811|O
20190910|AACAF|2300|0|24550|O
20190910|AACAY|21831|0|73421|O
20190910|AAGC|2054864|0|2054864|O
20190910|AAGIY|52441|0|137647|O
20190910|AAIGF|200|0|500|O
20190910|AAMMF|4510|0|43951|O
20190910|AAPJ|40000|0|157049|O
20190910|AATRL|604|0|664|O
20190910|AAVMY|32038|0|36568|O
20190910|AAVVF|601|0|5835|O
20190910|ABAHF|40525|0|76156|O
20190910|ABBRF|6000|0|6000|O
20190910|ABCE|65230|0|90000|O
20190910|ABCFF|19650|0|49650|O
20190910|ABCZF|200|0|560|O
20190910|ABCZY|159|0|469|O
20190910|ABMBF|31500|0|31500|O
20190910|ABML|682704|0|2146373|O
20190910|ABNAF|33000|0|83778|O
20190910|ABTO|5|0|15|O
20190910|ABVC|1400|0|2000|O
20190910|ABWN|1000000|0|1000000|O
20190910|ACAN|13860|0|18532|O
20190910|ACAZF|675|0|675|O
20190910|ACBM|456|0|1456|O
20190910|ACCA|17965|0|32025|O
20190910|ACCYY|109848|0|191089|O
20190910|ACDVF|5145|0|18995|O
20190910|ACETQ|579|0|35231|O
20190910|ACFN|16216|0|21004|O
20190910|ACGBY|12413|0|28069|O
20190910|ACGXD|18035|0|36641|O
20190910|ACKAY|123|0|123|O
20190910|ACKRF|6250|0|6250|O
20190910|ACLZ|26330|0|36332|O
20190910|ACOPF|3150|0|5300|O
20190910|ACRFF|25|0|25|O
20190910|ACRGF|65570|0|157922|O
20190910|ACRL|1215430|0|2529439|O
20190910|ACSAY|3332|0|82940|O
20190910|ACTL|896017|0|1759442|O
20190910|ACUR|30|0|330|O
20190910|ADDDF|15|0|215|O
20190910|ADDYY|13588|0|21600|O
20190910|ADFS|65500|0|75500|O
20190910|ADGO|2500|0|2500|O
20190910|ADHC|3670244|0|8776117|O
20190910|ADLDY|300|0|300|O
20190910|ADMG|20000|0|20000|O
20190910|ADMT|1550|0|7000|O
20190910|ADOM|30367|0|144828|O
20190910|ADRNY|30177|0|87500|O
20190910|ADTM|15719995|0|15819995|O
20190910|ADVT|135500|0|300500|O
20190910|ADYX|524|0|3941|O
20190910|ADYYF|38|0|93|O
20190910|AEPT|25|0|68725|O
20190910|AERG|240559|58759|270500|O
20190910|AERO|10408|0|13360|O
20190910|AESEW|80839|0|274155|O
20190910|AETUF|3000|0|12562|O
20190910|AEXAY|5711|0|25082|O
20190910|AEXE|1500|0|1512|O
20190910|AFFS|2507|0|8596|O
20190910|AFLYY|289|0|3935|O
20190910|AFOM|231287|0|409759|O
20190910|AFPW|1000000|0|1000000|O
20190910|AFSIA|2275|0|2675|O
20190910|AFSIB|500|0|2900|O
20190910|AFSIC|150|0|1850|O
20190910|AFSIM|573|0|8007|O
20190910|AFSIN|75|0|175|O
20190910|AFSIP|2000|0|5775|O
20190910|AFTM|1500|0|167000|O
20190910|AFTPF|1255|0|1590|O
20190910|AGDY|22000|0|22000|O
20190910|AGEEF|90019|0|220688|O
20190910|AGESY|616|0|894|O
20190910|AGFAF|220384|0|477126|O
20190910|AGGFF|184001|0|393928|O
20190910|AGGG|8476|0|14986|O
20190910|AGRPY|20|0|575|O
20190910|AGTEF|3386|0|3386|O
20190910|AGTK|43202|0|63368|O
20190910|AGXKF|1268|0|1268|O
20190910|AHCHY|349|0|31388|O
20190910|AHEXY|1920|0|20362|O
20190910|AHGIF|15600|0|27100|O
20190910|AHIX|950000|0|4850000|O
20190910|AHKSF|136|0|136|O
20190910|AHKSY|61913|0|79314|O
20190910|AHOTF|1550|0|1550|O
20190910|AIBRF|2000|0|2028|O
20190910|AICAF|8|0|1008|O
20190910|AIFS|5511|0|9511|O
20190910|AILIO|100|0|175|O
20190910|AIPUY|63|0|80|O
20190910|AIQUY|10717|0|51468|O
20190910|AIRRF|3311|0|16872|O
20190910|AITX|51494000|0|182094988|O
20190910|AIVI|64890|0|81350|O
20190910|AIXXF|500|0|10500|O
20190910|AKAOQ|81756|0|236178|O
20190910|AKBTY|2481|0|27506|O
20190910|AKOM|85|0|85|O
20190910|AKZOY|5269|0|48332|O
20190910|ALEAF|78882|0|174088|O
