timestamp,open,high,low,close,volume,dividends,stock_splits
2007-08-30,31.49,31.62,31.49,31.62,300,0.0,0
2007-08-31,31.62,31.62,31.62,31.62,0,0.0,0
2007-09-04,31.62,31.62,31.62,31.62,0,0.0,0
2007-09-05,32.28,32.28,32.23,32.23,400,0.0,0
2007-09-06,32.23,32.23,32.23,32.23,0,0.0,0
2007-09-07,32.23,32.23,32.23,32.23,0,0.0,0
2007-09-10,31.17,31.17,31.17,31.17,200,0.0,0
2007-09-11,31.17,31.17,31.17,31.17,0,0.0,0
2007-09-12,31.17,31.17,31.17,31.17,0,0.0,0
2007-09-13,31.17,31.17,31.17,31.17,0,0.0,0
2007-09-14,32.55,32.55,32.55,32.55,700,0.0,0
2007-09-17,32.0,32.0,32.0,32.0,100,0.0,0
2007-09-18,32.0,32.0,32.0,32.0,0,0.0,0
2007-09-19,33.81,33.86,33.81,33.86,200,0.0,0
2007-09-20,33.53,33.53,33.47,33.47,1000,0.0,0
2007-09-21,33.47,33.49,33.47,33.49,500,0.0,0
2007-09-24,33.49,33.49,33.49,33.49,300,0.0,0
2007-09-25,33.56,33.56,33.56,33.56,100,0.0,0
2007-09-26,33.86,33.86,33.86,33.86,100,0.0,0
2007-09-27,34.27,34.27,34.26,34.26,3300,0.0,0
2007-09-28,34.3,34.3,34.18,34.18,200,0.0,0
2007-10-01,34.18,34.18,34.18,34.18,0,0.0,0
2007-10-02,34.82,35.77,34.82,35.77,1300,0.0,0
2007-10-03,34.85,34.85,34.77,34.77,1700,0.0,0
2007-10-04,34.59,34.59,34.59,34.59,400,0.0,0
2007-10-05,35.01,35.1,35.01,35.1,400,0.0,0
2007-10-08,34.88,34.91,34.88,34.88,1600,0.0,0
2007-10-09,35.07,35.1,35.07,35.1,1600,0.0,0
2007-10-10,35.26,35.39,35.26,35.39,700,0.0,0
2007-10-11,35.29,35.29,35.29,35.29,900,0.0,0
2007-10-12,35.26,35.26,35.26,35.26,100,0.0,0
2007-10-15,34.64,34.69,34.5,34.64,5000,0.0,0
2007-10-16,34.08,34.21,33.83,33.83,1400,0.0,0
2007-10-17,34.26,34.26,33.92,33.92,2800,0.0,0
2007-10-18,33.86,34.05,33.86,34.02,1400,0.0,0
2007-10-19,33.41,33.41,32.32,32.87,3200,0.0,0
2007-10-22,32.84,33.86,32.8,33.86,500,0.0,0
2007-10-23,33.6,33.67,33.54,33.54,400,0.0,0
2007-10-24,33.63,33.63,33.25,33.26,400,0.0,0
2007-10-25,33.98,34.11,33.7,34.11,900,0.0,0
2007-10-26,34.53,34.53,34.47,34.47,700,0.0,0
2007-10-29,34.5,34.56,34.46,34.56,300,0.0,0
2007-10-30,34.59,34.59,34.59,34.59,700,0.0,0
2007-10-31,34.85,35.01,34.85,35.01,200,0.0,0
2007-11-01,34.53,34.59,34.43,34.43,600,0.0,0
2007-11-02,34.05,34.05,33.89,33.89,200,0.0,0
2007-11-05,33.1,33.1,32.98,32.98,400,0.0,0
2007-11-06,33.26,33.31,33.26,33.31,500,0.0,0
2007-11-07,33.54,33.62,33.47,33.47,700,0.0,0
2007-11-08,33.47,33.47,33.47,33.47,0,0.0,0
2007-11-09,32.22,32.57,32.22,32.57,800,0.0,0
2007-11-12,32.13,32.29,32.13,32.28,800,0.0,0
2007-11-13,33.31,33.31,33.31,33.31,100,0.0,0
2007-11-14,33.3,33.3,33.3,33.3,200,0.0,0
2007-11-15,32.77,32.77,32.62,32.62,600,0.0,0
2007-11-16,32.13,32.13,32.13,32.13,200,0.0,0
2007-11-19,31.78,31.78,31.44,31.44,400,0.0,0
2007-11-20,31.02,31.02,31.02,31.02,200,0.0,0
2007-11-21,30.87,30.87,30.8,30.87,400,0.0,0
2007-11-23,30.87,30.87,30.87,30.87,0,0.0,0
2007-11-26,31.31,31.31,31.05,31.05,500,0.0,0
2007-11-27,30.98,30.98,30.98,30.98,100,0.0,0
2007-11-28,30.98,30.98,30.98,30.98,0,0.0,0
2007-11-29,30.98,30.98,30.98,30.98,0,0.0,0
2007-11-30,32.71,32.71,32.71,32.71,300,0.0,0
2007-12-03,32.52,32.61,32.52,32.61,500,0.0,0
2007-12-04,32.29,33.28,32.13,32.23,8000,0.0,0
2007-12-05,32.26,32.26,32.23,32.23,400,0.0,0
2007-12-06,32.74,32.96,32.71,32.96,1100,0.0,0
2007-12-07,32.96,32.96,32.96,32.96,0,0.0,0
2007-12-10,33.35,33.35,33.35,33.35,100,0.0,0
2007-12-11,32.71,32.71,32.71,32.71,100,0.0,0
2007-12-12,32.9,32.9,32.58,32.58,1600,0.0,0
2007-12-13,31.6,31.6,31.29,31.33,1200,0.0,0
2007-12-14,31.05,31.05,31.05,31.05,100,0.0,0
2007-12-17,29.83,29.86,28.81,28.97,6000,0.0,0
2007-12-18,29.67,29.74,28.87,29.29,4700,0.0,0
2007-12-19,29.64,29.93,28.43,29.39,9300,0.0,0
2007-12-20,30.02,30.07,29.61,30.02,2000,0.0,0
